codigo_de_barras;nome_produto;url_imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7898575248155;Pix, 003-8600, Adaptador DVI - DVI 24+1 Macho Para HDMI Femea;https://m.media-amazon.com/images/I/51w54g1UeGL.__AC_SY300_SX300_QL70_ML2_.jpg;10;8;1,2;cm;40;g
7898555215450;PlusCable Cabo Adaptador DVI Fêmea para Mini DP Macho Preto - Suporta Resoluções Full HD ADP-204BK;https://m.media-amazon.com/images/I/41QfUDuRSYL.__AC_SX300_SY300_QL70_ML2_.jpg;15,6;9,4;1,6;cm;20;g
7899018443168;PINO ADAP-PINO TRI NOVO P/TOM TRI ANT-PT;https://m.media-amazon.com/images/I/51gd6EEW2aL.__AC_SY300_SX300_QL70_ML2_.jpg;12,8;4;3,8;cm;240;g
7898575246212;Pix, 003-8603, Adaptador HDMI PLA stico - HDMI Macho Para HDMI Femea 90 Graus;https://m.media-amazon.com/images/I/61kRiLuWnWL.__AC_SY300_SX300_QL70_ML2_.jpg;10,2;7,8;1,4;cm;20;g
7899744026604;Pix, 003-8503, Adaptador Micro HDMI PLA stico - Micro HDMI Macho Para HDMI Femea;https://m.media-amazon.com/images/I/61GSLKimw5L.__AC_SX300_SY300_QL70_ML2_.jpg;9,8;7,6;1;cm;10;g
7899838822013;Adaptador 2 Saidas 2P+T com 2 Portas USB 2.1A Multilaser - WI331;https://m.media-amazon.com/images/I/41wAPP+9dkL._AC_SY300_SX300_.jpg;10,4;4,2;3,2;cm;90;g
7899744038591;5+, 003-0140, Adaptador Otg Tipo C 3.1 Para USB Femea;https://m.media-amazon.com/images/I/61VgG6WUrJS.__AC_SX300_SY300_QL70_ML2_.jpg;14,4;10,4;1,6;cm;20;g
7898575245994;Adaptador P10 Estéreo para 2 J10 Estéreo Chipsce - 003-0680;https://m.media-amazon.com/images/I/5196A5mbxFL.__AC_SX300_SY300_QL70_ML2_.jpg;6,3;2,9;1,4;cm;10;g
7899838879659;Adaptador P2-P3 Preto Multilaser - WI409;https://m.media-amazon.com/images/I/61-0jqbktaL.__AC_SY300_SX300_QL70_ML2_.jpg;10;7,5;2;cm;10;g
7897020622779;Adaptador SMS para 01 tomada padrao novo - 64120;https://m.media-amazon.com/images/I/51HV08TH7GL.__AC_SX300_SY300_QL70_ML2_.jpg;14,2;9,6;3,7;cm;27;g
7898566206430;Cabo Adaptador USB Tipo C Macho para HDMI Femea, Storm, ADAP0056, Cabos para Computadores e Notebooks, Branco;https://m.media-amazon.com/images/I/51TxCN0iTHL.__AC_SX300_SY300_QL70_ML2_.jpg;20,4;11,8;1,6;cm;22;g
7899744056571;5+ 003-0141 Adaptador USB C para HDMI 4K Femea, Cinza, 60Hz;https://m.media-amazon.com/images/I/61nrDJNQxuS.__AC_SX300_SY300_QL70_ML2_.jpg;14,7;10,5;0,8;cm;20;g
7896637677660;Adaptador USB Wireless Dual Band ACtion A1200 Branco Intelbras;https://m.media-amazon.com/images/I/316W6abSpIL.__AC_SX300_SY300_QL70_ML2_.jpg;13,6;9,4;2,8;cm;60;g
7896637677554;Adaptador USB Wireless IWA 3001 Preto Intelbras;https://m.media-amazon.com/images/I/51dJO-WAQEL.__AC_SX300_SY300_QL70_ML2_.jpg;13,8;11,8;3;cm;60;g
7899744061018;5+ Adaptador USB 2.0 para Rede RJ45 Ethernet 10/100 Mbs, Preto;https://m.media-amazon.com/images/I/41pPWNNiVSL.__AC_SX300_SY300_QL70_ML2_.jpg;7;2;1,6;cm;20;g
7898554608192;Adaptador USB-A Para USB-C Fortrek UA2C;https://m.media-amazon.com/images/I/715j1R-lQvL.__AC_SX300_SY300_QL70_ML2_.jpg;9,5;6;0,5;cm;20;g
7898554608185;Adaptador USB-C Para USB-A Fortrek UC2A;https://m.media-amazon.com/images/I/71bwwspUQmL.__AC_SX300_SY300_QL70_ML2_.jpg;10;6;1;cm;10;g
7898506457144;Adaptador Usb Wireless Multilaser 150Mbps - RE035, white;https://m.media-amazon.com/images/I/418CHKyuwtL.__AC_SX300_SY300_QL70_ML2_.jpg;13,6;9,6;1,2;cm;0,1;g
7898506462094;Mini Adaptador USB Wireless 300 Mbps Dongle Multilaser - RE052;https://m.media-amazon.com/images/I/41FekvYmtzL.__AC_SY300_SX300_QL70_ML2_.jpg;14,8;9,4;0,8;cm;20;g
7898461972164;FRITADEIRA ELE.S/OLEO 3,6L AGRA220;https://m.media-amazon.com/images/I/71Y41EjTYdL.__AC_SX300_SY300_QL70_ML2_.jpg;37,1;31,1;30,8;cm;4,9;kg
7899838829968;;;32;32;30;cm;3860;g
7898446730765;Lenço De Alcool Isopropilico 70% Higienizador De Bolso;https://m.media-amazon.com/images/I/61Hyj0kmKBL.__AC_SX300_SY300_QL70_ML2_.jpg;6;5;1;cm;3;g
7898105773485;Multímetro Amperímetro Alicate Digital Foxlux;https://m.media-amazon.com/images/I/61e6kJ0+6sS._AC_SY300_SX300_.jpg;28;12,2;5,8;cm;400;g
7898105773737;Alicate De Bico Reto 6 Polegadas;https://m.media-amazon.com/images/I/51X-PTm-UsL.__AC_SX300_SY300_QL70_ML2_.jpg;12,2;4,8;0,8;cm;0,17;g
7898555216693;PlusCable Alicate Inserção Punch Down Lt-P10 Branco - Compatível Com Rj11 E Rj45;https://m.media-amazon.com/images/I/41QbQn489CL.__AC_SX300_SY300_QL70_ML2_.jpg;26,2;5,6;3,8;cm;50;g
7898105779036;Alicate Crimpar Acr6 Term Rg6/Rg59;https://m.media-amazon.com/images/I/51yVLo6w1-L.__AC_SX300_SY300_QL70_ML2_.jpg;8,2;4;2;cm;0,3;g
7899744041898;"Kokay 056-2008 Alicate Universal 8""";https://m.media-amazon.com/images/I/41VV8WwuhrS.__AC_SX300_SY300_QL70_ML2_.jpg;24,4;6,4;1;cm;260;g
7898926682485;LNBF Universal Banda Ku Monoponto Greatek USO-7104AX;https://m.media-amazon.com/images/I/41QlTubaNxS.__AC_SX300_SY300_QL70_ML2_.jpg;16;11;10;cm;1,5;kg
7899298642497;INTELBRAS Antena Interna de TV UHF/HDTV AI 1015 Preto;https://m.media-amazon.com/images/I/41awKlWgxNL.__AC_SX300_SY300_QL70_ML2_.jpg;20,3;6,6;6,6;cm;170;g
7896637646826;Kit Antena de TV Externa Digital AE 4010, Intelbras, Alumínio/Preto;https://m.media-amazon.com/images/I/51s5pgUJ0lL.__AC_SX300_SY300_QL70_ML2_.jpg;41,8;33,4;8;cm;0,97;g
7896637670135;Antena de TV Interna AI 2021 Preto Intelbras;https://m.media-amazon.com/images/I/51hmpktyScL.__AC_SX300_SY300_QL70_ML2_.jpg;20,4;12,4;10,4;cm;1,26;kg
7896637640787;Antena de TV Interna UHF/HDTV AI 2025 Preto Intelbras;https://m.media-amazon.com/images/I/41cJdNd5ZTL.__AC_SX300_SY300_QL70_ML2_.jpg;16,2;8,8;7,5;cm;185;g
7898193140435;WD-40 Spray Multiuso Tradicional Aerossol 300ml;https://m.media-amazon.com/images/I/510DdqAE8dS.__AC_SX300_SY300_QL70_ML2_.jpg;17;7;7;cm;280;g
7898152185385;WAP Aplicador de Detergente para Lavadoras de Alta Pressão ENCAIXE FINO 120EP060;https://m.media-amazon.com/images/I/71Vg9UNu1NS.__AC_SX300_SY300_QL70_ML2_.jpg;7;15,6;15,5;cm;70;g
7897982200015;Descanso Ergonomico Apoio De Punho P/Teclado Preto - 94126;https://m.media-amazon.com/images/I/41iraLgfwtL.__AC_SX300_SY300_QL70_ML2_.jpg;42,8;7,4;2,8;cm;200;g
7898555211292;C3Tech Apresentador sem fio AP-400, passador PPT, Preto, Com receptor USB nano 2.4Ghz;https://m.media-amazon.com/images/I/41f4S4fMYCL.__AC_SX300_SY300_QL70_ML2_.jpg;14,8;9,4;6;cm;30;g
7893299932182;AR CONDIC. LG DUAL INVERTER COMPACT+AI 9K BTU FRIO 220V (condensador + evaporador);https://m.media-amazon.com/images/I/41hw-n0+fGL._AC_SX342_SY445_.jpg;83,7;30,8;18,9;cm;20;kg
7899831310319;WAP Aspirador de Pó e Água Barril GTW INOX 15, Compacto, 14,8 Litros, com Filtro Lavável, 146mbar 1700W 220V;https://m.media-amazon.com/images/I/81EdGYPhyML.__AC_SX300_SY300_QL70_ML2_.jpg;39;32,8;32,2;cm;3,48;kg
7899831311361;WAP Aspirador de Pó Vertical HIGH SPEED PLUS 3 em 1, Compacto, 1,2 Litros, com Extensor Removível, 134mbar 1350W 220V;https://m.media-amazon.com/images/I/61wBRlZjDQL.__AC_SX300_SY300_QL70_ML2_.jpg;65,3;16;12,2;cm;1,25;kg
7896637627054;Módulo Expansor De Pgm Atuador Intelbras Pgm 8000;https://m.media-amazon.com/images/I/3124ug80MTL.__AC_SX300_SY300_QL70_ML2_.jpg;15;10;6;cm;350;g
7898461969553;Balança Digital, Levve BL 04, Vidro Temperado 180kg, Agratto;https://m.media-amazon.com/images/I/51Pan4QS90L.__AC_SX300_SY300_QL70_ML2_.jpg;31;30;28;cm;1,5;kg
7899838827643;Balança Eatsmart Digital LCD Branca Multilaser - HC039;https://m.media-amazon.com/images/I/71YebAIlXlL.__AC_SY300_SX300_QL70_ML2_.jpg;27;26,8;3,9;cm;0,67;g
7898461973109;Agratto Balança digital de cozinha levve bco01 vidro pr 5kg;https://m.media-amazon.com/images/I/519vJyj1rjL.__AC_SX300_SY300_QL70_ML2_.jpg;28;20,4;20,2;cm;500;g
7896637622844;Video Conversor Balun Passivo Xbp 401 Hd Intelbras ( par ) Xbp401 Hd Para Sistema de Cameras CFTV;https://m.media-amazon.com/images/I/51Y7GRfepRL.__AC_SX300_SY300_QL70_ML2_.jpg;20;18;11;cm;150;g
7896637696050;Conversor Power Balun VB 1001 Wp Intelbras Full HD;https://m.media-amazon.com/images/I/41QJWcOUrZL.__AC_SX300_SY300_QL70_ML2_.jpg;10;5;4;cm;100;g
7896637684743;Power Conversor Est Vídeo Balun 01 Canal VB 3001 WP Intelbras;https://m.media-amazon.com/images/I/412o3nOu9iL.__AC_SX300_SY300_QL70_ML2_.jpg;33;9;5;cm;100;g
7896637624985;Balun Passivo Vb 500 P G2 com transmissão de vídeo Intelbras;https://m.media-amazon.com/images/I/41HN5N459kL.__AC_SX300_SY300_QL70_ML2_.jpg;20;18;2;cm;60;g
7896637625012;Par de Balun Passivo Hibrido VB 501 P HD Intelbras Para CFTV;https://m.media-amazon.com/images/I/51OWss6PTkL.__AC_SX300_SY300_QL70_ML2_.jpg;20;15;10;cm;250;g
7896637697835;Balun VB 501 P Passivo - Intelbras;https://m.media-amazon.com/images/I/51XYYkczzwL.__AC_SX300_SY300_QL70_ML2_.jpg;22;16;13;cm;200;g
7896637631532;Intelbras Bandeja Deslizante 1U De 400Mm Preta, Montagem De Rack, Metal, Computador;https://m.media-amazon.com/images/I/41w+95q298L._AC_SY300_SX300_.jpg;20;20;20;cm;1;kg
7896637631525;Bandeja fixa de 1U de 290 mm BF1U 290 Intelbras;https://m.media-amazon.com/images/I/41CVG1aUL6L.__AC_SX300_SY300_QL70_ML2_.jpg;30;29;5;cm;2;kg
7896637631549;Intelbras Bandeja Fixa P/ RACK BF1UU 400MM 4770001;https://m.media-amazon.com/images/I/31Z5n55DvtL.__AC_SX300_SY300_QL70_ML2_.jpg;49,5;42,5;6;cm;2,52;kg
7897975074395;Base Mx Led Para Notebook, Maxprint, Acessórios para Computador;https://m.media-amazon.com/images/I/51DS1youwtL.__AC_SY300_SX300_QL70_ML2_.jpg;38;30,4;5,8;cm;820;g
7898555213111;"C3Tech Base para Notebook NBC-50BK 15,6"" Refrigerada com 2 Coolers, Led de Iluminacao Azul, Inclinacao Ajustável em 5 niveis, com USB, cor Preta";https://m.media-amazon.com/images/I/51L-D6a7EaL.__AC_SX300_SY300_QL70_ML2_.jpg;36,4;27,8;4,4;cm;800;g
7898555213128;"C3Tech Base para notebook Gamer NBC-100BK 17,3"" Refrigerada, 4 Ventiladores, Led Azul, controle de velocidade, regulagem de altura em 5 posições, Display digital em LCD";https://m.media-amazon.com/images/I/61HsNhd3ZPL.__AC_SX300_SY300_QL70_ML2_.jpg;42,2;31,3;4,6;cm;960;g
7897013553479;BATERIA ALCALINA A23, 82195, 12V com 5 pilhas, Elgin;https://m.media-amazon.com/images/I/51w2QVx4qYL.__AC_SX300_SY300_QL70_ML2_.jpg;18,4;5,5;2;cm;9,4;g
7897013538148;Bateria Alcalina A27 Elgin com 5 Unidades 12V Pilha;https://m.media-amazon.com/images/I/61Jzl-YBf7L.__AC_SX300_SY300_QL70_ML2_.jpg;10,8;5;3,8;cm;5;g
7897013556944;Bateria Alcalina com 10 unidades de 1, 5v tipo LR41, LR736, AG3 Elgin, Elgin, Baterias;https://m.media-amazon.com/images/I/51VtczCfYsL.__AC_SX300_SY300_QL70_ML2_.jpg;18,3;5,4;0,7;cm;1;g
7897013538124;Bateria Alcalina LR44/ A76/ LR1154/ 357/ AG13 Elgin com 10 unidades 5v Pilha;https://m.media-amazon.com/images/I/515rcoL6SRL.__AC_SX300_SY300_QL70_ML2_.jpg;8;5,3;1;cm;2;g
7897013553509;Bateria Alcalina com 10 unidades de 1, 5v tipo LR54, LR1130, 189 ou AG10 Elgin, Elgin, Baterias;https://m.media-amazon.com/images/I/41PifN3KxyL.__AC_SY300_SX300_QL70_ML2_.jpg;18,2;15;1;cm;1;g
7897013534249;Bateria Alcalina Elgin com 1 unidade 9V Pilha;https://m.media-amazon.com/images/I/71cCrvLiomL.__AC_SX300_SY300_QL70_ML2_.jpg;12;9;2;cm;53;g
7897013538100;Bateria de Lítio CR2025 Elgin com 5 unidades 3v Pilha;https://m.media-amazon.com/images/I/61OHAAbfQeL.__AC_SX300_SY300_QL70_ML2_.jpg;18;6;0,5;cm;1;g
7897013574566;Bateria De Litio Cr2477 C/5 82306, ELGIN, 28458;https://m.media-amazon.com/images/I/617DFUIoUCL.__AC_SX300_SY300_QL70_ML2_.jpg;18,8;2,8;0,4;cm;19;g
7897154291407;Bateria Moura 12mva-18 Estacionaria Nobreak 12v 18ah;https://m.media-amazon.com/images/I/71sPGpUe2JL.__AC_SX300_SY300_QL70_ML2_.jpg;19,4;18,1;8,9;cm;5,22;kg
7897154294095;Bateria Moura Selada Vrla AGM 12V 5Ah Estacionaria 12Mva-5;https://m.media-amazon.com/images/I/51FYrzqt2KL.__AC_SX300_SY300_QL70_ML2_.jpg;11,3;10,8;7,9;cm;1,6;kg
7897013578489;Bateria Selada 12v Chumbo Vrla 4,5ah, Elgin, 82312;https://m.media-amazon.com/images/I/51r8oFi-TSL.__AC_SX300_SY300_QL70_ML2_.jpg;10;9;7;cm;1,36;g
7897013578472;Bateria Selada, Elgin, 6V, 4,5 Ah, Chumbo, Vrla;https://m.media-amazon.com/images/I/511FUu+kkUS._AC_SY300_SX300_.jpg;10;7;5;cm;670;g
7893007440015;Bateria Para Nobreak Interna Selada 12V 7,0Ah Up1270Seg - Unipower;https://m.media-amazon.com/images/I/61wRquGaJyL.__AC_SX300_SY300_QL70_ML2_.jpg;16;11;8;cm;2;kg
7893007670290;BATERIA 12V 9.0AH (UP1290), UNIPOWER, Preto;https://m.media-amazon.com/images/I/81HxFLt-xsL.__AC_SX300_SY300_QL70_ML2_.jpg;15;9,2;6,6;cm;2,38;kg
7896637681469;Bateria Chumbo Intelbras VRLA 12V XB 1223 Preto;https://m.media-amazon.com/images/I/513Yyy4VHpL.__AC_SX300_SY300_QL70_ML2_.jpg;39,8;20,2;8,6;cm;900;g
7896637665285;Bateria VRLA 12V XB 12AL Preto Intelbras;https://m.media-amazon.com/images/I/51kYka8gR-L.__AC_SX300_SY300_QL70_ML2_.jpg;15,1;10;6,5;cm;1,8;kg
7896637679312;Luminária Emergência 2 Faróis Led 1200 Lumens Intelbras;https://m.media-amazon.com/images/I/51e7-ApUZ-L.__AC_SX300_SY300_QL70_ML2_.jpg;30,4;28,6;9,4;cm;1,4;kg
7896637661539;BOTÃO DE SAÍDA INTELBRAS AUTOMATIZA INOX AC2864;https://m.media-amazon.com/images/I/51dVUvc3SqL.__AC_SY300_SX300_QL70_ML2_.jpg;16;11;11;cm;200;g
7896637659994;BOTÃO DE SAÍDA INTELBRAS AUTOMATIZA INOX COM CAIXA AC6904;https://m.media-amazon.com/images/I/413cN+2PGsL._AC_SY300_SX300_.jpg;9;4;3;cm;200;g
7899298633143;BOTOEIRA SEM FIO RF 433,92 MHz FSK/OOK BT 100 BRANCA;https://m.media-amazon.com/images/I/41LEnFx97yL.__AC_SX300_SY300_QL70_ML2_.jpg;15;10;10;cm;100;g
7899298633136;BOTOEIRA SEM FIO RF 433,92 MHz FSK/OOK BT 100 PRETO;https://m.media-amazon.com/images/I/51esNN9vFyL.__AC_SX300_SY300_QL70_ML2_.jpg;19;16;7;cm;140;g
7899744063371;Cabo Adaptador USB C para LAN 10/100/1000 Mbps, Preto, 5+;https://m.media-amazon.com/images/I/51KJJZJ57WL.__AC_SX300_SY300_QL70_ML2_.jpg;20;5,6;2,8;cm;120;g
7899744079341;Cabo Adaptador Santana Usb 3.0 Para Lan - 10/100/1000mbps;https://m.media-amazon.com/images/I/51woapBVeBL.__AC_SX300_SY300_QL70_ML2_.jpg;5,3;2,5;2,2;cm;50;g
7899744038911;5+ ADAPTADOR USB C - P/HDMI 4K X 2K 60HZ + USB C/F PD, 5+, Outros acessórios para notebooks;https://m.media-amazon.com/images/I/71CCd9-BYeL.__AC_SX300_SY300_QL70_ML2_.jpg;18,2;8,2;4,6;cm;18;g
7899744038850;5+ Cabo Adaptador P3 Macho X 2 P2 Femea - Para Microfone e Fone Headset Ps4 / Xbox - Preto;https://m.media-amazon.com/images/I/51z8Y6fpTXL.__AC_SY300_SX300_QL70_ML2_.jpg;15;10;0,1;cm;10;g
7899638100724;Cabo de Áudio P2 X 2RCA 1,2M, Hayonik, Preto;https://m.media-amazon.com/images/I/716CxluTeBL.__AC_SX300_SY300_QL70_ML2_.jpg;26,4;11,4;3,2;cm;150;g
7896637687348;Cabo Coaxial CFTV FC67CBR Branco Intelbras;https://m.media-amazon.com/images/I/51MjFCJL4HL.__AC_SX300_SY300_QL70_ML2_.jpg;27,2;26,6;6,6;cm;1,82;kg
7896637687355;Cabo CFTV FAST CAM FC80CBR Branco Intelbras;https://m.media-amazon.com/images/I/41coSnzfdbL.__AC_SX300_SY300_QL70_ML2_.jpg;27,2;26,6;6,6;cm;2,02;kg
7899298681397;Cabo CFTV AWG 300M Multi Cam Azul Intelbras;https://m.media-amazon.com/images/I/5120F6vIvXL.__AC_SX300_SY300_QL70_ML2_.jpg;34;34;22;cm;5,6;kg
7896637687324;Cabo CFTV MC8CBR Branco Intelbras;https://m.media-amazon.com/images/I/51e7mUMEHbL.__AC_SY300_SX300_QL70_ML2_.jpg;32,4;22,8;22,5;cm;6020;kg
7899298681380;Cabo CFTV AWG 300M Multi Cam Preto Intelbras;https://m.media-amazon.com/images/I/51A2nQA2smL.__AC_SX300_SY300_QL70_ML2_.jpg;34;34;22;cm;5,6;kg
7899658701123;Cftv Cabo Coaxial Hibrico 4mmcel 75 Ohms Dupla Blindagem Br 100mts 2x26awg;https://m.media-amazon.com/images/I/61KFg-Z02tL.__AC_SX300_SY300_QL70_ML2_.jpg;29;28;8;cm;2,25;kg
7899658704612;Cftv Cabo Coaxial C/Alimentacao Trancado 4mmcel 80% Nu Cftv Bc Bb0 300m;https://m.media-amazon.com/images/I/61GJWIgzyGL.__AC_SX300_SY300_QL70_ML2_.jpg;35;25;25;cm;8;kg
7899658704605;Cabo coaxial 4 mm RF+ bipolar master Condutti 100 mts branco;https://m.media-amazon.com/images/I/610kgSMdBRL.__AC_SX300_SY300_QL70_ML2_.jpg;30;30;10;cm;1,7;kg
7899278916150;Cabo Coaxial Rf 0,4/2,5 (cftv) + 2x26awg 100m Br Megatron;https://m.media-amazon.com/images/I/51mAtVyoDYL.__AC_SX300_SY300_QL70_ML2_.jpg;26,2;25,8;9,1;cm;17;kg
7899718712793;Cabo Conversor HDMI para VGA com Áudio, Cirilo Cabos, 273778;https://m.media-amazon.com/images/I/512DoWR9aML.__AC_SX300_SY300_QL70_ML2_.jpg;15,7;8;2,4;cm;0,09;g
7899838805405;Conversor Hdmi M X Vga F C/Saida Audio - WI293;https://m.media-amazon.com/images/I/41CZ2r5WHKL.__AC_SX300_SY300_QL70_ML2_.jpg;18,2;11,4;2,8;cm;800;g
7898566205129;Conversor HDMI x VGA com Áudio ADAP0038 Branco STORM, Storm, Outros acessórios para notebooks;https://m.media-amazon.com/images/I/51yIz8vWAXL.__AC_SX300_SY300_QL70_ML2_.jpg;21,6;11,8;1,4;cm;7;g
7899838846279;Conversor Adaptador USB Tipo C para HDMI 4K Ultra HD Multi - WI373;https://m.media-amazon.com/images/I/41wipczkATL.__AC_SX300_SY300_QL70_ML2_.jpg;22,6;11,1;2,6;cm;60;g
7899838829470;Cabo Conversor Usb Macho X Hdmi Femea Multilaser - WI347;https://m.media-amazon.com/images/I/41PYh6gNkuL.__AC_SX300_SY300_QL70_ML2_.jpg;21,8;10,4;1,6;cm;0,1;g
7898458701487;Cabo Multilaser Conversor - Usb Amxserial - WI047;https://m.media-amazon.com/images/I/71lSxC60T2L.__AC_SY300_SX300_QL70_ML2_.jpg;22,6;12,8;4;cm;0,2;g
7898458701470;Cabo Multilaser Conversor Usb Amxps2F - WI046;https://m.media-amazon.com/images/I/515epzkS4cL.__AC_SX300_SY300_QL70_ML2_.jpg;19,4;13;1;cm;0,1;g
