codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7899298635772;Nobreak Intelbras ATTIV Preto 1500VA 220V;https://m.media-amazon.com/images/I/41QZAGqzzDL.__AC_SY300_SX300_QL70_ML2_.jpg;39.6;23.6;14.5;centímetros;9.8;kilograms;
7899298635857;Nobreak Intelbras ATTIV Preto 1500VA Bivolt;https://m.media-amazon.com/images/I/51Y7T2LThlL.__AC_SX300_SY300_QL70_ML2_.jpg;40.7;24.2;14.8;centímetros;10;kilograms;
7899298610755;Nobreak Interativo ATTIV 600VA Bivolt Preto Intelbras;https://m.media-amazon.com/images/I/31QQPftGx9L.__AC_SX300_SY300_QL70_ML2_.jpg;32.8;22.7;13.7;centímetros;6.5;kilograms;
7896637699877;Nobreak Interativo ATTIV 700VA 220V Preto Intelbras;https://m.media-amazon.com/images/I/41XjC4siG1S.__AC_SY300_SX300_QL70_ML2_.jpg;29.1;23;14;centímetros;5;kilograms;
7896637699884;Nobreak Interativo ATTIV 700VA Bivolt Preto Intelbras;https://m.media-amazon.com/images/I/419buQ91BVL.__AC_SX300_SY300_QL70_ML2_.jpg;29.2;23.4;14;centímetros;6.57;kilograms;
7896637686723;Nobreak Para Portão 220V GNB 1500VA Intelbras;https://m.media-amazon.com/images/I/51RZuqoFa7L.__AC_SX300_SY300_QL70_ML2_.jpg;27.8;25;18.8;centímetros;7.2;kilograms;
7896637699907;;;26.9;21.4;12.4;cm;5.2;kilograms;
7896637679602;Nobreak Interactive XNB 1800 220v Preto Intelbras;https://m.media-amazon.com/images/I/41i1m9ZgaUL.__AC_SX300_SY300_QL70_ML2_.jpg;44.6;28.4;21.6;centímetros;11.5;g;
7896637679664;Nobreak Interativo XNB 600VA 220V Preto Intelbras;https://m.media-amazon.com/images/I/51IFeEB5QtL.__AC_SX300_SY300_QL70_ML2_.jpg;35.4;21.6;14.6;centímetros;4.2;g;
7896637669542;Nobreak Interativo XNB 720 220V Preto Intelbras;https://m.media-amazon.com/images/I/5143U1WO3jL.__AC_SX300_SY300_QL70_ML2_.jpg;35.2;21.4;14.6;centímetros;4.53;kilograms;
7899298659211;Nobreak Online Rack/Torre DNB 1.5kVA 220v RT G2 Preto Intelbras;https://m.media-amazon.com/images/I/51HcB41fUlL.__AC_SX300_SY300_QL70_ML2_.jpg;59.8;56.2;36.6;centímetros;18.7;kilograms;
7896637693608;;;40;21.5;14.4;cm;13.5;kilograms;
7896637686778;Nobreak Para Portão GNB 1000VA 220V Preto Intelbras;https://m.media-amazon.com/images/I/51GQ2i1RZCL.__AC_SX300_SY300_QL70_ML2_.jpg;28;24.8;19.4;centímetros;5.58;kilograms;
7896637637411;Intelbras Nobreak Senoidal Rack Torre Bivolt SNB 3000VA Preto;https://m.media-amazon.com/images/I/51NmCm1t6qL.__AC_SX300_SY300_QL70_ML2_.jpg;56;55;22;centímetros;26.3;kilograms;
7899298604778;intelbras Nobreak para Portão Senoidal GNB 1500VA-PRO Preto;https://m.media-amazon.com/images/I/91yx-OOI-QL.__AC_SY300_SX300_QL70_ML2_.jpg;26.7;24.2;20.4;centímetros;6.7;kilograms;
7896637680851;intelbras Nobreak Senoidal SNB 2000Va Bivolt, Acessórios Para Computador, Preto, Único;https://m.media-amazon.com/images/I/51OYQjpaC5L.__AC_SX300_SY300_QL70_ML2_.jpg;30;24.4;22.8;centímetros;20.7;g;
7896637680882;Nobreak Senoidal SNB 700VA Bivolt Preto Intelbras;https://m.media-amazon.com/images/I/51gzkt7sGdL.__AC_SX300_SY300_QL70_ML2_.jpg;43.4;26.2;21;centímetros;11.1;kilograms;
7897020633744;NOBREAK STATION II 1400VA BIVOLT ENTRADA 115/220V E SAIDA 115V – 27451 – SMS;https://m.media-amazon.com/images/I/51Da7ic6IVL.__AC_SX300_SY300_QL70_ML2_.jpg;36;27;18.2;centímetros;9.8;g;
7896586820568;NOBREAK SMS LITE 1200 VA LINE INTERACTIVE - ENTRADA/SAÍDA 220V - PN 29204;https://m.media-amazon.com/images/I/51rL2+5rvxL._AC_SY300_SX300_.jpg;39.2;20.2;14.2;centímetros;9;kilograms;
7896586820575;;;39.3;19;13.8;cm;8.2;quilogramas;
7896586820544;NOBREAK SMS LITE 600 - POTÊNCIA 600VA | 300W - BIVOLT ENT.: 115/ 220V | SAÍDA: 115V - 4 TOMADAS - SENOIDAL P/APROX. - LINE INTERACTIVE - PN 29202;https://m.media-amazon.com/images/I/5145T5GT5vL.__AC_SX300_SY300_QL70_ML2_.jpg;39.7;20;14.3;centímetros;5;kilograms;
7897020627484;No Break SMS New Station 700VA Bi-115 Black - 27915;https://m.media-amazon.com/images/I/717dEGenaeL.__AC_SX300_SY300_QL70_ML2_.jpg;35.4;16.2;12;centímetros;6.9;kilograms;
7897020633676;NOBREAK POWER SINUS UPS 2400 NG POTÊNCIA 2400VA | 1488W - BIVOLT ENT.: 115/ 220V | SAÍDA: 220V - 10 TOMADAS (6T 10A + 4T 20A) - SENOIDAL PURA - LINE INTERACTIVE - PN 27876;https://m.media-amazon.com/images/I/51rYTYL8OCL.__AC_SX300_SY300_QL70_ML2_.jpg;54.6;38.6;21.6;centímetros;35;kilograms;
7897020630675;NOBREAK SMS POWER VISION UPV 2200 NG POTÊNCIA 2200VA | 1364W - BIVOLT ENT.: 115/ 220V | SAÍDA: 115V - 10 TOMADAS (6T 10A + 4T 20A) - SENOIDAL P/APROX. - LINE INTERACTIVE - PN 27745;https://m.media-amazon.com/images/I/6161fjXzN9L.__AC_SX300_SY300_QL70_ML2_.jpg;50.4;36.6;21.2;centímetros;31;kilograms;
7897020630682;NOBREAK SMS POWER VISION UPV 2200 NG POTÊNCIA 2200VA | 1364W - MONOVOLT ENT.:220V | SAÍDA: 220V - 10 TOMADAS (6T 10A + 4T 20A) - SENOIDAL P/APROX. - LINE INTERACTIVE- PN 27746;https://m.media-amazon.com/images/I/512xP+Ya2+L._AC_SY300_SX300_.jpg;53.6;34.8;20.6;centímetros;30.7;kilograms;
7896586820711;NOBREAK SMS PREMIUM 1500 WIFI - POTÊNCIA 1500VA | 1050W - BIVOLT ENT.:115/ 220V |SAÍDA: 115/ 220V - 8 TOMADAS (6T 10A + 2T 20A) - SENOIDAL PURA - LINE INTERACTIVE - PN 29501;https://m.media-amazon.com/images/I/61cmoL-DffL.__AC_SX300_SY300_QL70_ML2_.jpg;41;25;15.5;centímetros;12.5;kilograms;
7896586820674;NOBREAK SMS PRO 1500 - POTÊNCIA 1500VA | 1050W - BIVOLT ENT.:115/ 220V | SAÍDA: 115/ 220V - 8 TOMADAS (6T 10A + 2T 20A) - SENOIDAL P/APROX. - LINE INTERACTIVE - PN 29401;https://m.media-amazon.com/images/I/51ADxReDbkL.__AC_SX300_SY300_QL70_ML2_.jpg;40.6;25.4;16;centímetros;11;kilograms;
7896586820667;NOBREAK SMS PRO 700 WIFI - POTÊNCIA 700VA | 490W - BIVOLT ENT.:115/ 220V | : SAÍDA: 115/ 220V - 6 TOMADAS - SENOIDAL P/APROX. - LINE INTERACTIVE - PN 29400;https://m.media-amazon.com/images/I/51tdCXrh8KL.__AC_SX300_SY300_QL70_ML2_.jpg;39;20;14.6;centímetros;7;kilograms;
7896586820629;NOBREAK SMS TECH 1200 VA LINE INTERACTIVE - ENTRADA BIVOLT/SAÍDA 115V - PN 29304;https://m.media-amazon.com/images/I/61imu3616pL.__AC_SX300_SY300_QL70_ML2_.jpg;40.9;25.9;16;centímetros;9;kilograms;
7896586820636;NOBREAK SMS TECH 1400 VA LINE INTERACTIVE - ENTRADA BIVOLT/SAÍDA 115V - PN 29305;https://m.media-amazon.com/images/I/51KWoqGEtYL.__AC_SX300_SY300_QL70_ML2_.jpg;40.3;25;16.2;centímetros;9;kilograms;
7896586820650;NOBREAK SMS TECH 1800 VA LINE INTERACTIVE - ENTRADA BIVOLT/SAÍDA 115V - PN 29307;https://m.media-amazon.com/images/I/51Hy9BQDqCL.__AC_SX300_SY300_QL70_ML2_.jpg;41.2;25.5;16;centímetros;13;kilograms;
7896586820599;NOBREAK SMS TECH 700 - POTÊNCIA 700VA | 350W - BIVOLT ENT.: 115/ 220V | SAÍDA: 115V - 6 TOMADAS - SENOID;https://m.media-amazon.com/images/I/61Ea57S6itL.__AC_SY300_SX300_QL70_ML2_.jpg;39.4;19.8;15;centímetros;5.7;kilograms;
7896586820612;NOBREAK SMS TECH 800 - POTÊNCIA 800VA | 400W - BIVOLT ENT.: 115/ 220V | SAÍDA: 220V - 6 TOMADAS - SENOIDAL P/APROX. - LINE INTERACTIVE - PN 29303;https://m.media-amazon.com/images/I/61Ea57S6itL.__AC_SY300_SX300_QL70_ML2_.jpg;39;20;14.2;centímetros;6.1;kilograms;
7897020630736;;;52.7;32.5;19.5;cm;33.2;kilograms;
7896637679640;Nobreak Interactive Intelbras XNB 1200VA/220V Preto Intelbras;https://m.media-amazon.com/images/I/510rT+Q+mqL._AC_SY300_SX300_.jpg;40.8;23.5;20;centímetros;8.31;kilograms;
7896637669917;Nobreak Interativo XNB 1440 120V Preto Intelbras;https://m.media-amazon.com/images/I/51fa6WOlk+L._AC_SY300_SX300_.jpg;40.8;23.6;19.6;centímetros;8.3;g;
7896637669559;Nobreak Interativo XNB 1440 220V Preto Intelbras;https://m.media-amazon.com/images/I/51fa6WOlk+L._AC_SY300_SX300_.jpg;41;23.8;19.6;centímetros;8.3;g;
7896637680165;Nobreak Interactive XNB 1440 Bivolt Preto Intelbras;https://m.media-amazon.com/images/I/41U7XNFbWXL.__AC_SX300_SY300_QL70_ML2_.jpg;45;29.6;18.4;centímetros;11.6;kilograms;
7896637686754;Nobreak Bivolt XNB 1800VA BI+ Preto Intelbras;https://m.media-amazon.com/images/I/41XqCZeTbsL.__AC_SX300_SY300_QL70_ML2_.jpg;39;30;20;centímetros;11.5;kilograms;
7896637680158;Nobreak Interativo XNB 720 BIvolt Preto Intelbras;https://m.media-amazon.com/images/I/51l6cZX5qiL.__AC_SX300_SY300_QL70_ML2_.jpg;38;23;15;centímetros;6.26;kilograms;
7896904686005;Notebook Intel Pentium 4GB 120GB SSD Compaq Presario 420 N3700 Tela 14" Windows 10;https://m.media-amazon.com/images/I/51fIUawJQKL.__AC_SX300_SY300_QL70_ML2_.jpg;37.7;33.4;6.1;centímetros;2;kilograms;
7892509123587;Galaxy Book2 Intel® Core™ i7-1255U, Windows 11 Home, 8GB, 512GB SSD, 15.6'' Full HD LED, 1.81kg*.;https://m.media-amazon.com/images/I/51mtlUsJ3rL.__AC_SX300_SY300_QL70_ML2_.jpg;48.4;28.1;5.9;centímetros;1.8;kilograms;
7892509136181;Samsung Galaxy Book4 Intel® Core™ i3-1315U, Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg*.;https://m.media-amazon.com/images/I/51lGW2nP9qL.__AC_SX300_SY300_QL70_ML2_.jpg;50.3;29.8;6.7;centímetros;1.55;kilograms;
7897975000011;Onu Gpon/Epon Hibrida - MAXPRINT Max Fiber 1000;https://m.media-amazon.com/images/I/317c2MDf5vL.__AC_SX300_SY300_QL70_ML2_.jpg;;;;;
7899298648734;;;;;;;
7899838892450;Organizador De Mesa Aramado Preto Keep - EI043;https://m.media-amazon.com/images/I/71nOPovuaeL.__AC_SX300_SY300_QL70_ML2_.jpg;;;;;
